"","ID","GeneID","GenbankID","OtherID"
"17490","rna17489","100629002"," miRBase:MIMAT0018522"," miRBase:MI0016152)"
"17491","rna17490","100629001"," Genbank:NR_039443.1"," miRBase:MI0016151)"
"17492","rna17491","100629001"," miRBase:MIMAT0018521"," miRBase:MI0016151)"
"17493","rna17492","100578774"," Genbank:XM_003249899.4","GB42895"
"17494","rna17493","113219014"," Genbank:XM_026442964.1)",""
"17495","rna17494","107964994"," Genbank:XM_016914084.2)",""
"17496","rna17495","725302"," Genbank:XM_006561860.3","GB42897"
"17497","rna17496","725335"," Genbank:XM_001121195.5","GB42898"
"17498","rna17497","725335"," Genbank:XM_006561859.3","GB42898"
"17499","rna17498","107965011"," Genbank:XM_026442751.1)",""
"17500","rna17499","102656567"," Genbank:XM_026442965.1)",""
"17501","rna17500","100578842"," Genbank:XM_026442801.1","GB42588"
"17502","rna17501","113218543"," Genbank:XM_026442804.1)",""
"17503","rna17502","113218543"," Genbank:XR_003305340.1)",""
"17504","rna17503","113218543"," Genbank:XM_026442803.1)",""
"17505","rna17504","113218543"," Genbank:XR_003305341.1)",""
"17506","rna17505","113218543"," Genbank:XM_026442802.1)",""
"17507","rna17506","725557"," Genbank:XM_016914076.2","GB42585"
"17508","rna17507","725557"," Genbank:XM_016914077.2","GB42585"
"17509","rna17508","725557"," Genbank:XM_006561868.3","GB42585"
"17510","rna17509","113218974"," Genbank:XR_003305279.1)",""
"17511","rna17510","113218974"," Genbank:XR_003305278.1)",""
"17512","rna17511","409000"," Genbank:XM_006561865.3","GB42584"
"17513","rna17512","409000"," Genbank:XM_392530.7","GB42584"
"17514","rna17513","100579047"," Genbank:XM_003249902.3","GB42582"
"17515","rna17514","100576090"," Genbank:NM_001270823.1","GB42581"
"17516","rna17515","725710"," Genbank:XM_006561872.3","GB42580"
"17517","rna17516","551133"," Genbank:XM_006561873.3","GB42899"
"17518","rna17517","551133"," Genbank:XR_001704298.2","GB42899"
"17519","rna17518","113219026"," RFAM:RF00309"," Genbank:XR_003305382.1)"
"17520","rna17519","113219025"," RFAM:RF00309"," Genbank:XR_003305381.1)"
"17521","rna17520","100576161"," Genbank:XR_003305349.1)",""
"17522","rna17521","102655429"," Genbank:XM_016914159.2)",""
"17523","rna17522","102655476"," Genbank:XM_006561904.3)",""
"17524","rna17523","102653835"," Genbank:XM_006561875.3)",""
"17525","rna17524","100576192"," Genbank:XM_003249905.4","GB42903"
"17526","rna17525","100576192"," Genbank:XM_006561876.3","GB42903"
"17527","rna17526","102655512"," Genbank:XM_026442843.1)",""
"17528","rna17527","102653932"," Genbank:XM_026442932.1)",""
"17529","rna17528","102653932"," Genbank:XM_006561877.3)",""
"17530","rna17529","102654008"," Genbank:XM_006561879.3)",""
"17531","rna17530","102654053"," Genbank:XM_006561880.3)",""
"17532","rna17531","725903"," Genbank:XM_001121697.5","GB42907"
"17533","rna17532","102654158"," Genbank:XM_006561881.3)",""
"17534","rna17533","725969"," Genbank:XM_001121754.5","GB42909"
"17535","rna17534","102654246"," Genbank:XM_006561882.3)",""
"17536","rna17535","726001"," Genbank:XM_001121782.5","GB42911"
"17537","rna17536","726031"," Genbank:NM_001174139.1","GB42912"
"17538","rna17537","107964934"," Genbank:XM_026442728.1)",""
"17539","rna17538","107964934"," Genbank:XM_016913856.2)",""
"17540","rna17539","408996"," Genbank:XM_026442726.1","GB42579"
"17541","rna17540","408996"," Genbank:XM_026442727.1","GB42579"
"17542","rna17541","104796175"," Genbank:NR_127371.1"," miRBase:MI0031816)"
"17543","rna17542","104796175"," miRBase:MIMAT0037294"," miRBase:MI0031816)"
"17544","rna17543","107964944"," Genbank:XM_016913895.2)",""
"17545","rna17544","408995"," Genbank:XM_006561505.3","GB42577"
"17546","rna17545","408995"," Genbank:XM_006561507.3","GB42577"
"17547","rna17546","408995"," Genbank:XM_006561506.3","GB42577"
